source_table_index,source_row,norm_code,resource_category,resource_code,resource_name,unit_raw,quantity_per_work_unit_raw
67,5,27-14-053-02,machine,01771,Йўл устаси машинаси,маш.-с,"2,88"
67,5,27-14-053-03,machine,01771,Йўл устаси машинаси,маш.-с,"3,19"
67,7,27-14-053-01,material,30972,"Ташқи бўёқ ишлари учун қора бўёқ, МА-015,ПФ-014 маркали",Т,"0,00254"
67,7,27-14-053-02,material,30972,"Ташқи бўёқ ишлари учун қора бўёқ, МА-015,ПФ-014 маркали",Т,"0,00513"
67,7,27-14-053-03,material,30972,"Ташқи бўёқ ишлари учун қора бўёқ, МА-015,ПФ-014 маркали",Т,"0,00286"
67,8,27-14-053-01,material,30996,"Ёғли ва алкидли бўёқлар, ишлатиш учун тайёр, рухли белила ПФ-14",Т,"0,00456"
67,8,27-14-053-02,material,30996,"Ёғли ва алкидли бўёқлар, ишлатиш учун тайёр, рухли белила ПФ-14",Т,"0,00813"
67,8,27-14-053-03,material,30996,"Ёғли ва алкидли бўёқлар, ишлатиш учун тайёр, рухли белила ПФ-14",Т,"0,00686"
68,2,27-14-054-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"90,7"
68,3,27-14-054-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"25,92"
68,5,27-14-054-01,machine,01771,Йўл устаси машинаси,маш.-с,"12,96"
68,6,27-14-054-01,machine,00128,"Кўчма пайвандлаш агрегати, пайвандлашда номинал ток 250-400 А, дизель двигателли",маш.-с,"12,96"
68,7,27-14-054-01,machine,00761,"Бошқа турдаги қурилиш ишларидаги автомобиль крани 6,3 т",маш.-с,"12,96"
68,9,27-14-054-01,material,35310,Электродлар диаметри 4 мм Э42,Т,"0,00154"
68,10,27-14-054-01,material,41085,Болт гайкалари билан,кг,"28,6"
69,2,27-14-055-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"119,48"
69,3,27-14-055-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"49,54"
69,5,27-14-055-01,machine,01771,Йўл устаси машинаси,маш.-ч,"29,15"
69,6,27-14-055-01,machine,00761,"Бошқа турдаги қурилиш ишларидаги автомобиль крани 6,3 т",маш.-ч,"20,39"
69,8,27-14-055-01,material,41085,Болт-гайкалар,кг,47
69,9,27-14-055-01,material,23469,Сув,м3,"0,46"
69,10,27-14-055-01,material,32506,"Рухланган поковка, массаси 1,8 кг",т,"0,0302"
69,11,27-14-055-01,material,44849,Цемент,т,"0,79"
69,12,27-14-055-01,material,43111,Қум,м3,"1,79"
69,13,27-14-055-01,material,45066,Йиғма темирбетон конструкциялар,м3,"3,39"
69,14,27-14-055-01,material,58117,Темирбетон устунлар (тури лойиҳа бўйича),м3,"3,73"
70,2,27-14-056-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"9,74"
70,3,27-14-056-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"4,87"
70,5,27-14-056-01,machine,01771,Йўл устаси машинаси,маш.-ч,"4,87"
70,7,27-14-056-01,material,31085,Ташқи ишларга ишлатишга тайёр ёғли бўёқлар,т,"0,00687"
71,2,27-14-057-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"11,12"
71,3,27-14-057-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"2,78"
71,5,27-14-057-01,machine,01771,Йўл устаси машинаси,маш.-ч,"2,78"
71,7,27-14-057-01,material,30422,Пўлат симлар,10м,"10,70"
71,8,27-14-057-01,material,32506,"Рухланган поковка, массаси 1,8 kg",т,"0,00258"
72,2,27-14-059-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"1,7"
72,3,27-14-059-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"1,7"
72,5,27-14-059-01,machine,01770,Комбинациялашган йўл машиналари,маш.-с,"1,7"
72,7,27-14-059-01,material,09219,Сув,м3,"0,2"
73,2,27-14-060-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"7,24"
73,3,27-14-060-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"3,62"
73,5,27-14-060-01,machine,01771,Йўл устаси машинаси,маш.-с,"3,62"
73,6,27-14-060-01,machine,01436,Краскопульт қўл жиҳози,маш.-с,"3,62"
73,8,27-14-060-01,material,41109,Ишлатишга тайёр эмаль бўёқлар,т,"0,0394"
74,2,27-14-061-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"60,78"
74,3,27-14-061-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"30,39"
74,5,27-14-061-01,machine,01770,Комбинациялашган йўл машиналари,маш.-с,"30,39"
74,7,27-14-061-01,material,09219,Сув,М3,"0,371"
74,8,27-14-061-01,material,43111,Қум,М3,"1,43"
74,9,27-14-061-01,material,44849,Цемент маркаси лойиҳа бўйича,т,"0,632"
75,2,27-14-063-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"45,31"
75,3,27-14-063-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"12,94"
75,5,27-14-063-01,machine,00619,"Ўзиюрар титратма йўл катоклари 2,2 т",маш.-с,"6,47"
75,6,27-14-063-01,machine,00913,Кўчма битум қозонлари 400 л ҳажмли,маш.-с,"6,47"
75,7,27-14-063-01,machine,01771,Йўл устаси машинаси,маш.-с,"6,47"
75,9,27-14-063-01,material,30118,"Суюқ йўл нефть битумлари, МГ ва СГ турдаги",т,"0,053"
75,10,27-14-063-01,material,45059,Асфальтбетон қоришма,т,"6,89"
76,2,27-14-064-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,41"
76,3,27-14-064-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,41"
76,5,27-14-064-01,machine,01771,Йўл устаси машинаси,маш.-с,"0,41"
76,7,27-14-064-01,material,30407,Қурилиш михлари,т,"0,00034"
76,8,27-14-064-01,material,36108,"Игнабаргли дарахт тахтаси,узунлиги 2-3,75 m, эни 75-150 mm, қалинлиги 19-22 mm, II нав",м3,"0,02"
77,2,27-14-065-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"2,48"
77,2,27-14-065-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"4,64"
77,3,27-14-065-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"1,24"
77,3,27-14-065-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"2,32"
77,5,27-14-065-01,machine,01771,Йўл устаси машинаси,маш.-с,"1,24"
77,5,27-14-065-02,machine,01771,Йўл устаси машинаси,маш.-с,"2,32"
77,7,27-14-065-01,material,31085,Ташқаридаги ишлар учун ишлатишга тайёр ёғли бўёқлар,т,"0,0017"
77,7,27-14-065-02,material,31085,Ташқаридаги ишлар учун ишлатишга тайёр ёғли бўёқлар,т,"0,00289"
78,2,27-14-066-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"25,75"
78,2,27-14-066-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,25
78,2,27-14-066-03,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,47
78,2,27-14-066-04,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,52
78,3,27-14-066-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"25,75"
78,3,27-14-066-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,25
78,3,27-14-066-03,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,47
78,3,27-14-066-04,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,52
78,5,27-14-066-01,machine,01771,Йўл устаси машинаси,маш.-с,"25,75"
78,5,27-14-066-02,machine,01771,Йўл устаси машинаси,маш.-с,25
78,5,27-14-066-03,machine,01771,Йўл устаси машинаси,маш.-с,47
78,5,27-14-066-04,machine,01771,Йўл устаси машинаси,маш.-с,52
78,7,27-14-066-01,material,34035,Уайт-спирит,т,"0,0002"
78,7,27-14-066-02,material,34035,Уайт-спирит,т,"0,00097"
78,7,27-14-066-03,material,34035,Уайт-спирит,т,"0,00042"
78,7,27-14-066-04,material,34035,Уайт-спирит,т,"0,00111"
78,8,27-14-066-01,material,35550,"Фольга алюминийдан, техник мақсадлар учун,юмшоқ, рулонли қалинлиги 0,1 мм",т,"0,00055"
78,8,27-14-066-02,material,35550,"Фольга алюминийдан, техник мақсадлар учун,юмшоқ, рулонли қалинлиги 0,1 мм",т,-
78,8,27-14-066-03,material,35550,"Фольга алюминийдан, техник мақсадлар учун,юмшоқ, рулонли қалинлиги 0,1 мм",т,-
78,8,27-14-066-04,material,35550,"Фольга алюминийдан, техник мақсадлар учун,юмшоқ, рулонли қалинлиги 0,1 мм",т,-
78,9,27-14-066-01,material,41647,Эпоксид клей,кг,"0,54"
78,9,27-14-066-02,material,41647,Эпоксид клей,кг,"2,63"
78,9,27-14-066-03,material,41647,Эпоксид клей,кг,"1,13"
78,9,27-14-066-04,material,41647,Эпоксид клей,кг,3
78,10,27-14-066-01,material,61524,"Йўл белгилари учун пленка, орқа томонига клей суртилмаган",1000m2,-
78,10,27-14-066-02,material,61524,"Йўл белгилари учун пленка, орқа томонига клей суртилмаган",1000m2,"0,007"
78,10,27-14-066-03,material,61524,"Йўл белгилари учун пленка, орқа томонига клей суртилмаган",1000m2,"0,003"
78,10,27-14-066-04,material,61524,"Йўл белгилари учун пленка, орқа томонига клей суртилмаган",1000m2,"0,008"
79,2,27-14-067-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"13,77"
79,3,27-14-067-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"13,77"
79,5,27-14-067-01,machine,01771,Йўл устаси машинаси,маш.-ч,"13,77"
79,7,27-14-067-01,material,30421,Барьер тўсиқлар учун нурқайтарувчи элементлар,д,100
79,8,27-14-067-01,material,41085,Болт гайкалари билан,кг,10
80,2,27-14-068-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,62"
80,2,27-14-068-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"0,84"
80,3,27-14-068-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,31"
80,3,27-14-068-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,42"
80,5,27-14-068-01,machine,00101,"Автогидроподъемник, кўтариш баландлиги 12 м",маш.-ч,"0,31"
80,5,27-14-068-02,machine,00101,"Автогидроподъемник, кўтариш баландлиги 12 м",маш.-ч,"0,42"
80,7,27-14-068-01,material,46086,Люминесцент лампалар,д,"1,02"
80,7,27-14-068-02,material,46086,Люминесцент лампалар,д,"2,04"
81,2,27-14-069-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"3,44"
81,3,27-14-069-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,8"
81,5,27-14-069-01,machine,00101,"Автогидроподъемник, кўтариш баландлиги 12 м",маш.-с,"0,8"
81,7,27-14-069-01,material,30322,Қурилиш болт- гайка ва шайбалари,т,"0,00004"
81,8,27-14-069-01,material,44519,Люминесцент ёки симоб лампали чироқлар,д,1
82,2,27-14-071-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,-
82,3,27-14-071-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,033"
82,5,27-14-071-01,machine,01682,Автомобиль базасидаги плугли қортозалагичлар,маш.-с,"0,033"
83,2,27-14-072-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,08"
83,4,27-14-072-01,machine,1682,Автомобиль базасидаги плугли қортозалагичлар,маш.-ч,"0,08"
84,2,27-14-073-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,044"
84,4,27-14-073-01,machine,01859,Бошқа турдаги қурилиш ишлари учун пневмоғилдиракли тракторлар 158 кВт (215 о.к.),маш.-с,"0,044"
85,2,27-14-074-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,077"
85,4,27-14-074-01,machine,01859,Бошқа турдаги қурилиш ишлари учун пневмоғилдиракли тракторлар 158 кВт (215 о.к.),маш.-с,"0,077"
86,2,27-14-075-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,085"
86,4,27-14-075-01,machine,00107,Автогрейдер ўртача турдаги 99 кВт (135 л.с.),маш.-с,"0,085"
87,2,27-14-077-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"0,163"
87,4,27-14-077-01,machine,00258,Бошқа турдаги қурилиш ишлари учун бульдозерлар 79 кВт (108 л.с.),маш.-с,"0,163"
